Monthly Mean Avg Temperature for FARGO HECTOR INTL AP, ND
Click column heading to sort ascending, click again to sort descending.

https://www.wunderground.com/history/monthly/us/nd/fargo/KFAR/date/2020-7


Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1997	1.7	12.4	20.1	37.8	53.0	68.9	69.2	67.8	61.9	46.9	23.2	23.4	40.5
1998	11.3	28.0	26.5	49.2	60.9	63.4	71.7	72.7	63.9	47.6	29.3	17.3	45.2
1999	6.2	22.4	31.1	45.1	58.0	66.3	71.5	68.0	55.4	44.3	37.1	22.9	44.0
2000	9.8	21.6	35.2	42.3	57.3	62.7	70.6	69.5	57.9	48.3	25.9	-0.2	41.7
2001	14.2	3.8	22.9	44.4	58.5	65.9	72.5	70.4	59.4	44.4	39.7	20.1	43.0
2002	16.5	24.0	20.0	40.1	51.1	69.0	73.0	67.3	61.7	37.2	27.9	19.9	42.3
2003	9.3	8.2	24.7	45.3	55.7	65.4	70.4	72.6	58.5	48.9	24.9	19.9	42.0
2004	3.2	14.7	30.3	44.3	52.3	62.5	68.2	62.2	62.8	47.0	34.2	18.0	41.6
2005	5.7	17.3	28.0	49.1	54.4	68.2	71.3	68.2	63.2	48.3	31.2	17.2	43.5
2006	23.5	9.6	27.4	50.7	58.9	68.5	74.9	69.7	58.7	43.2	31.9	25.6	45.2
2007	13.0	6.5	31.6	42.9	60.4	69.8	74.0	67.2	60.6	50.0	31.1	10.3	43.1
2008	6.5	7.4	22.8	41.0	53.9	63.6	70.3	69.4	59.7	46.7	31.7	5.9	39.9
2009	1.7	11.6	24.0	41.9	53.8	63.6	66.5	65.9	65.1	40.3	38.4	9.7	40.2
2010	8.4	10.1	35.4	51.6	58.1	66.5	72.0	71.2	56.4	50.0	29.2	10.0	43.2
2011	3.2	11.2	20.5	42.4	54.6	66.8	74.5	70.6	59.9	52.6	33.8	25.3	42.9
2012	19.6	21.4	41.6	48.1	60.8	69.9	76.6	68.8	59.3	44.0	30.3	14.7	46.3
2013	10.8	12.7	17.3	33.8	57.6	67.5	71.7	70.9	64.4	44.8	28.2	4.0	40.3
2014	4.4	4.6	22.3	40.3	57.0	67.2	69.4	69.3	60.8	48.4	22.8	21.1	40.6
2015	16.0	7.7	33.5	47.1	55.0	67.1	72.5	69.4	65.6	50.8	36.2	23.1	45.3
2016	13.2	23.6	38.3	43.9	60.6	68.8	71.9	70.3	62.7	49.3	41.8	16.0	46.7
